'C-K-RAS	KRAS
IL-6RB	IL6ST
IL-7R-alpha	IL7R
IL-7Ralpha	IL7R
IL1-BETA	IL1B
IL13BP	IL13RA2
IL13RA2	IL13RA2
IL1B	IL1B
IL1F2	IL1B
IL1beta	IL1B
IL2	IL2
IL21R	IL21R
IL3R	IL3RA
IL3RA	IL3RA
IL3RAY	IL3RA
IL3RX	IL3RA
IL3RY	IL3RA
IL6	IL6
IL6Q	IL6R
IL6QTL	IL6R
IL6R	IL6R
IL6RA	IL6R
IL6RQ	IL6R
IL6ST	IL6ST
IL7R	IL7R
IL7RA	IL7R
IL7Ralpha	IL7R
ILP-2	BIRC8
ILP1	XIAP
ILP2	BIRC8
ILRA	IL7R
ILWEQ	HIP1
IMAGEI	POLE
IMD1	BTK
IMD104	IL7R
IMD11	CARD11
IMD11A	CARD11
IMD12	MALT1
IMD120	POLD1
IMD121	PSMB10
IMD122	POLD3
IMD129	RHOH
IMD131	IRF4
IMD14	PIK3CD
IMD14A	PIK3CD
IMD14B	PIK3CD
IMD16	TNFRSF4
IMD2	WAS
IMD21	GATA2
IMD22	LCK
IMD26	PRKDC
IMD35	TYK2
IMD36	PIK3R1
IMD37	BCL10
IMD43	B2M
IMD44	STAT2
IMD46	TFRC
IMD49	BCL11B
IMD5	SH2D1A
IMD50	MSN
IMD53	RELB
IMD56	IL21R
IMD68	MYD88
IMD69	IFNG
IMD75	TET2
IMD82	SYK
IMD92	REL
IMD94	IL6ST
IMD97	PIK3CG
IMDDHH	NFE2L2
IMF1	PDGFRB
IMF2	NOTCH3
IMMAS	SUZ12
IMPCHASE	ATIC
INDO	IDO1
INI-1	SMARCB1
INI1	SMARCB1
INK4	CDKN2A
INK4A	CDKN2A
INK4B	CDKN2B
INK4C	CDKN2C
INO80F	TFPT
INO80K	ACTL6A
INP10	CXCL10
INSR	INSR
INT2	FGF3
INT3	NOTCH4
IOTA	PSMA6
IP	SDHB
IP-10	CXCL10
IPCA-2	SLC45A3
IPCA-6	SLC45A3
IPCA-8	SLC45A3
IPCA6	SLC45A3
IPL1	AURKB
IREL	RELB
IRF4	IRF4
IRIS	BRCA1
IRT1	PARP3
IRTA1	FCRL4
IRTA2	FCRL5
IS3	CHD7
ISGF-3	STAT2
ITF1	TCF3
ITK	ITK
Ia-GAMMA	CD74
Igbeta	CD79B
JAB	SOCS1
JAK-3	JAK3
JAK1	JAK1
JAK1A	JAK1
JAK1B	JAK1
JAK2	JAK2
JAK3	JAK3
JAK3_HUMAN	JAK3
JAKL	JAK3
JARID1C	KDM5C
JAZF1	JAZF1
JBP1	PRMT5
JBTS32	SUFU
JC310	MAPKAP1
JDVS	PPM1D
JHDM3A	KDM4A
JHDM3C	KDM4C
JIP	SMAD4
JJAZ1	SUZ12
JKAP	DUSP22
JM21	HDAC6
JMJD2	KDM4A
JMJD2A	KDM4A
JMJD2C	KDM4C
JMJD3	KDM6B
JMML	PTPN11
JMP	PSMB8
JMS	ATRX
JNKK	MAP2K4
JNKK1	MAP2K4
JSP-1	DUSP22
JSP1	DUSP22
JTK1	TYK2
JTK10	JAK2
JTK11	AXL
JTK12	PDGFRB
JTK13	IGF1R
JTK2	FGFR4
JTK3	JAK1
JTK4	FGFR3
JTK7	ABL1
JTK8	LYN
JTK9	HCK
JUN	JUN
JWS	FGFR2
K-ALPHA-1	TUBA1B
K-FGF	FGF4
K-RAS2A	KRAS
K-RAS2B	KRAS
K-RAS4A	KRAS
K-RAS4B	KRAS
K-Ras	KRAS
K-Ras 2	KRAS
K-SAM	FGFR2
K12H4.8-LIKE	DICER1
KABUK1	KMT2D
KABUK2	KDM6A
KAL2	FGFR1
KAL5	CHD7
KAP1	TRIM28
KAPG	PRKACG
KAT13A	NCOA1
KAT13C	NCOA2
KAT3A	CREBBP
KAT3B	EP300
KAT6A	KAT6A
KAT6B	KAT6B
KBF1	NFKB1
KBTBD4	KBTBD4
KCIP-1	YWHAE
KD	AR
KDAC1	HDAC1
KDAC2	HDAC2
KDAC3	HDAC3
KDAC6	HDAC6
KDAC8	HDAC8
KDII	KIF5B
KDM1	KDM1A
KDM1A	KDM1A
KDM4A	KDM4A
KDM4C	KDM4C
KDM5A	KDM5A
KDM5C	KDM5C
KDM6A	KDM6A
KDM6B	KDM6B
KDR	KDR
KDSR	KDSR
KET	TP63
KFGF	FGF4
KGFR	FGFR2
KI-RAS	KRAS
KIAA1546	TET2
KIAA1549	KIAA1549
KIAA1596	FANCM
KIAA1618	RNF213
KIAA1794	FANCI
KIAK0002	CCND2
KIAP	BIRC7
KIBRA	WWC1
KIF5B	KIF5B
KIM-3	HAVCR2
KINH	KIF5B
KINS	AFF3
KIP1	CDKN1B
KIP2	CDKN1C
KIT	KIT
KL-6	MUC1
KLEFS2	KMT2C
KLF4	KLF4
KLF6	KLF6
KLK2	KLK2
KLK2A1	KLK3
KLK2A2	KLK2
KLK3	KLK3
KMS	KMT2D
KMT2A	KMT2A
KMT2B	KMT2B
KMT2C	KMT2C
KMT2D	KMT2D
KMT2E	KMT2E
KMT2G	SETD1B
KMT3A	SETD2
KMT3B	NSD1
KMT3E	SMYD3
KMT3F	NSD2
KMT3G	NSD2
KMT4	DOT1L
KMT6	EZH2
KMT6A	EZH2
KMT8D	PRDM8
KMT8E	MECOM
KMT8F	PRDM16
KNL1	KNL1
KNS	KIF5B
KNS1	KIF5B
KNT	KTN1
KOG1	RPTOR
KOGS	PDGFRB
KPM	LATS2
KRAS	KRAS
KRAS1	KRAS
KRAS2	KRAS
KRML	MAFB
KRS1	STK3
KRS2	STK4
KS1/4	EPCAM
KSA	EPCAM
KTCN9	TUBA3D
KTN1	KTN1
KURIS	BAP1
Ki	PSME3
Ki-1	TNFRSF8
Kto	MED12
L-JAK	JAK3
L-Myc	MYCL
L-PLASTIN	LCP1
L-VEGF	VEGFA
L11	RPL11
L35A	RPL35A
LACS 3	ACSL3
LACS 6	ACSL6
LACS2	ACSL6
LACS3	ACSL3
LACS5	ACSL6
LAF4	AFF3
LAG3	LAG3
LAGE-2	CTAG1B
LAGE2B	CTAG1B
LAMA5	LAMA5
LAMAN	MAN2B1
LAP-2	HSP90AA1
LAP2	HSP90AA1
LARG	ARHGEF12
LASP1	LASP1
LATS1	LATS1
LATS2	LATS2
LAZ3	BCL6
LC64P	LCP1
LCAEOD	TUBB4B
LCAM	CDH1
LCCS2	ERBB3
LCCS5	DNM2
LCFS2	MSH2
LCK	LCK
LCP1	LCP1
LCR1	CXCR4
LCX	TET1
LDS1	TGFBR1
LDS1A	TGFBR1
LDS1B	TGFBR2
LDS2	TGFBR2
LDS2A	TGFBR1
LDS2B	TGFBR2
LDS4	TGFB2
LDS5	TGFB3
LEDGF	PSIP1
LENG2	CNOT3
LESTR	CXCR4
LEU-16	MS4A1
LEU-9	CD7
LFA-3	CD58
LFA3	CD58
LFDH	ECT2L
LFS1	TP53
LFS2	CHEK2
LGCR	EXT1
LGR3	TSHR
LGSS	SPRED1
LHFP	LHFPL6
LHFPL6	LHFPL6
LHRHR	GNRHR
LIB	LRRC15
LIF-R	LIFR
LIFR	LIFR
LIG-1	LRIG1
LIG1	LRIG1
LIG4	LIG4
LIG4S	LIG4
LIGHTR	TNFRSF14
LIN28B	LIN28B
LINC00902	TUSC7
LIPO	HMGA2
LIS3	TUBA1A
LIVIN	BIRC7
LJAK	JAK3
LKB1	STK11
LLS	SETD2
LMNS	NOTCH3
LMO-2	LMO2
LMO1	LMO1
LMO2	LMO2
LMP10	PSMB10
LMP2	PSMB9
LMP7	PSMB8
LMPH1A	FLT4
LMPH1D	VEGFC
LMPHM1	FLT4
LMPHM14	ERG
LMPHM4	VEGFC
LMPX	PSMB5
LMPY	PSMB6
LMS	TP63
LMW-DSP2	DUSP22
LMWDSP2	DUSP22
LMYC	MYCL
LNK	SH2B3
LOH11CR1G	POU2AF3
LOH19CR1	RPS19
LP2261	SS18L1
LPC	PCSK7
LPFS1	ITK
LPFS3	CD70
LPP	LPP
LQT11	AKAP9
LRCC	FH
LRF	ZBTB7A
LRHR	GNRHR
LRIG1	LRIG1
LRIG3	LRIG3
LRRC15	LRRC15
LRRC74BNL	LRRC74BNL
LSAMP-AS3	TUSC7
LSD1	KDM1A
LSIRF	IRF4
LSK	LCK
LSKB	MDM2
LST8	MLST8
LTG19	MLLT1
LVNC8	PRDM16
LYF1	IKZF1
LYK	ITK
LYL1	LYL1
LYN	LYN
LYNCH1	MSH2
LYNCH2	MLH1
LYNCH4	PMS2
LYNCH5	MSH6
LYNCH8	EPCAM
LYP	SH2D1A
LYT-10	NFKB2
LYT10	NFKB2
LZTR-1	LZTR1
LZTR1	LZTR1
Lasp-1	LASP1
Lobe	AKT1S1
LyF-1	IKZF1
M-CSF-R	CSF1R
M-MDH	MDH2
M.HsaIIIA	DNMT3A
M.HsaIIIB	DNMT3B
M1S1	TACSTD2
M40	TUBB
M4S1	EPCAM
M6P-R	IGF2R
M6P/IGF2R	IGF2R
M7MLS1	SAMD9L
M7MLS2	SAMD9
MAA2	BCOR
MABKL1B	MOB1A
MACH	CASP8
MACID	NFIB
MACTHC1	TUBB1
MACTHC2	TUBA8
MAD3L	BUB1B
MADH4	SMAD4
MADH6	SMAD9
MADH7	SMAD7
MADH8	SMAD7
MADH9	SMAD9
MAF	MAF
MAFB	MAFB
MAGE3	MAGEA3
MAGEA3	MAGEA3
MAL	MRTFA
MALT1	MALT1
MALT2	BIRC3
MAM-3	MAML2
MAM2	MAML2
MAM3	MAML2
MAM6	MUC1
MAML2	MAML2
MAN2B1	MAN2B1
MANB	MAN2B1
MAP2K1	MAP2K1
MAP2K2	MAP2K2
MAP2K4	MAP2K4
MAP3K1	MAP3K1
MAPE	PRAME
MAPK1	MAPK1
MAPK11	MAPK11
MAPK14	MAPK14
MAPK2	MAPK1
MAPK3	MAPK3
MAPKAP1	MAPKAP1
MAPKK1	MAP2K1
MAPKK2	MAP2K2
MAPKK4	MAP2K4
MAPKKK1	MAP3K1
MARF	MFN2
MASH1	ASCL1
MASNS	PRKAR1B
MASTC	KIT
MATINS	MYH9
MATS1	MOB1A
MATS2	MOB1B
MAX	MAX
MAY1	PRKCD
MAZR	PATZ1
MB-1	CD79A
MC2DN1	SDHA
MC2DN3	SDHD
MC2DN4	SDHB
MCAHS2	PIGA
MCB1	PSMD4
MCD	MUC1
MCDDBH	CARS1
MCEF	AFF4
MCF3	ROS1
MCH4	CASP10
MCH5	CASP8
MCK10	DDR1
MCKD	MUC1
MCKD1	MUC1
MCL	FH
MCL1	MCL1
MCL1-ES	MCL1
MCL1L	MCL1
MCL1S	MCL1
MCM	PIK3CA
MCMT	DNMT1
MCMTC	PIK3CA
MCOPCB5	SHH
MCOPS2	BCOR
MCOPS3	SOX2
MCOPS5	OTX2
MCOPS6	BMP4
MCPH12	CDK6
MCPH31	CDK4
MCPH4	KNL1
MCT	SLC16A1
MCT1	SLC16A1
MCT1D	SLC16A1
MCTO	MAFB
MCUL1	FH
MDA-6	CDKN1A
MDA-BF-1	ERBB3
MDBH	CARS1
MDCR	YWHAE
MDH	MDH2
MDH2	MDH2
MDM2	MDM2
MDM4	MDM4
MDMX	MDM4
MDPL	POLD1
MDS014	RBM8A
MDS033	PSENEN
MDS1	MECOM
MDS1-EVI1	MECOM
ME20	PMEL
ME20-M	PMEL
ME20M	PMEL
ME5	FAT1
MEAI	MEN1
MEC1	ATR
MECL1	PSMB10
MECOM	MECOM
MECT1	CRTC1
MED12	MED12
MED12S	MED12
MEF	ELF4
MEF2B	MEF2B
MEF2D	MEF2D
MEGAP	SRGAP3
MEGF1	FAT2
MEK1	MAP2K1
MEK2	MAP2K2
MEK4	MAP2K4
MEKK	MAP3K1
MEKK 1	MAP3K1
MEKK1	MAP3K1
MEL	MAP2K1
MEL1	PRDM16
MEMRYQTL	WWC1
MEN	ELL
MEN1	MEN1
MEN1B	CDKN1B
MEN2A	RET
MEN2B	RET
MEN4	CDKN1B
MEN5	MAX
MER	MERTK
MER6	CD47
MERTK	MERTK
MET	MET
METCDS	PTPN11
METS	ETV3
MFH	FOXP1
MFN2	MFN2
MFS2	TGFBR2
MFT	CYLD
MFT1	CYLD
MGC:11246	CARS1
MGC:3559	MDH2
MGC:7868	PARP9
MGCR	MN1
MGCR1	MN1
MGCR1-PEN	MN1
MGDF	THPO
MGF	STAT5A
MGMT	MGMT
MGRISCE1	BLM
MHA	MYH9
MHAM	PTEN
MHC1D4	B2M
MHC2D1	CIITA
MHC2TA	CIITA
MI	MITF
MIB006	PARP11
MIC18	EPCAM
MIG-6	ERRFI1
MIG20a	DDR2
MIG6	ERRFI1
MIHA	XIAP
MIHB	BIRC2
MIHC	BIRC3
MINOR	NR4A3
MIP1	MAPKAP1
MIP224	PSMC4
MIRAGE	SAMD9
MITA	STING1
MITF	MITF
MITF-A	MITF
MITR	HDAC9
MIZ	ZMIZ1
MIZ-1	ZBTB17
MK-1	EPCAM
MKCSF	THPO
MKHK1	CREBBP
MKHK2	EP300
MKK1	MAP2K1
MKK2	MAP2K2
MKK4	MAP2K4
MKL	MRTFA
MKL1	MRTFA
MKMS	STAG2
MKP-5	DUSP10
MKP-x	DUSP22
MKP5	DUSP10
MKPX	DUSP22
ML	THPO
ML-IAP	BIRC7
MLF1	MLF1
MLH-1	MLH1
MLH1	MLH1
MLH2	PMS1
MLH4	PMS2
MLIAP	BIRC7
MLL	KMT2A
MLL-AF6	AFDN
MLL-MAML2	MAML2
MLL1	KMT2A
MLL1A	KMT2A
MLL1B	KMT2B
MLL3	KMT2C
MLL5	KMT2E
MLLT1	MLLT1
MLLT10	MLLT10
MLLT11	MLLT11
MLLT2	AFF1
MLLT2-like	AFF3
MLLT3	MLLT3
MLLT4	AFDN
MLLT5	EPS15
MLLT6	MLLT6
MLLT7	FOXO4
MLM	CDKN2A
MLN 19	ERBB2
MLN-19	ERBB2
MLN50	LASP1
MLSM7	SAMD9L
MLST8	MLST8
MLT	MALT1
MLT1	MALT1
MMAC1	PTEN
MMAP	WDCP
MMDS3	VTI1A
MMGL	PDE4DIP
MMRCS1	MLH1
MMRCS2	MSH2
MMRCS3	MSH6
MMRCS4	PMS2
MMSET	NSD2
MMVP2	DCHS1
MN1	MN1
MNDLFH	ZBTB7A
MNG1	DICER1
MNS	FLNA
MNX1	MNX1
MO15	CDK7
MOB1	MOB1A
MOB1A	MOB1A
MOB1B	MOB1B
MOB4A	MOB1B
MOBK1B	MOB1A
MOBKL1A	MOB1B
MOBKL1B	MOB1A
MOC-31	EPCAM
MOCODC	GPHN
MODED	MYCN
MODY11	BLK
MONOMAC	GATA2
MOP1	HIF1A
MOP2	EPAS1
MOR1	MDH2
MORF	KAT6B
MOV34	PSMD7
MOZ	KAT6A
MOZ2	KAT6B
MPAPA	MYCN
MPF	MSLN
MPL	MPL
MPLLG	THPO
MPLPF	DDX41
MPLV	MPL
MPPH1	PIK3R2
MPPH2	AKT3
MPPH3	CCND2
MPR 300	IGF2R
MPR1	IGF2R
MPR300	IGF2R
MPRI	IGF2R
MPSH	GREM1
MPYS	STING1
MRD12	ARID1B
MRD14	ARID1A
MRD15	SMARCB1
MRD16	SMARCA4
MRD19	CTNNB1
MRD21	CTCF
MRD29	SETBP1
MRD30	ZMYND11
MRD32	KAT6A
MRD36	PPP2R1A
MRD45	CIC
MRD56	CLTC
MRD68	KMT2B
MRD70	SETD2
MRE11	MRE11
MRE11A	MRE11
MRE11B	MRE11
MRF-2	ARID5B
MRF2	ARID5B
MRMV2	RAD51
MRP1	MDM4
MRT2	CRBN
MRT2A	CRBN
MRT79	TPR
MRTF-A	MRTFA
MRTFA	MRTFA
MRTL	MYC
MRX102	DDX3X
MRX13	KDM5C
MRX52	ATRX
MRXJ	KDM5C
MRXS16	KDM5C
MRXS34	NONO
MRXS6	HDAC8
MRXSCJ	KDM5C
MRXSJ	KDM5C
MRXSPF	TFE3
MRXSSB	DDX3X
MS4A1	MS4A1
MSF	SEPTIN9
MSF1	SEPTIN9
MSH-2	MSH2
MSH-6	MSH6
MSH2	MSH2
MSH6	MSH6
MSI2	MSI2
MSI2H	MSI2
MSK39	NCAM1
MSL	MFN2
MSLN	MSLN
MSN	MSN
MSS1	PSMC2
MSSE	TGFBR1
MST075	RPA1
MST084	GRB2
MST1	STK4
MST109	PARP12
MST131	NRG1
MST1R	MST1R
MST2	STK3
MSTP064	PSENEN
MSTP084	GRB2
MSTP109	PARP12
MSTP131	NRG1
MTC	NTRK1
MTC1	RET
MTCP1	MTCP1
MTG16	CBFA2T3
MTGR2	CBFA2T3
MTOR	MTOR
MTS-1	CDKN2A
MTS1	CDKN2A
MTS2	CDKN2B
MU	PSMA2
MU-RMS-40.16A	AKAP9
MU-RMS-40.19	KTN1
MUC-1	MUC1
MUC-1/SEC	MUC1
MUC-1/X	MUC1
MUC-17	MUC17
MUC-3	MUC17
MUC1	MUC1
MUC1/ZD	MUC1
MUC17	MUC17
MUC3	MUC17
MUL	TRIM37
MUM1	IRF4
MUNC18-2	STXBP2
MUTYH	MUTYH
MVA1	BUB1B
MVA2	CEP57
MVA3	TRIP13
MVCD1	VEGFA
MVP2	DCHS1
MVti1	VTI1A
MXR7	GPC3
MYB	MYB
MYBL1	MYBL1
MYC	MYC
MYCBP2	MYCBP2
MYCC	MYC
MYCL	MYCL
MYCL1	MYCL
MYCN	MYCN
MYCNsORF	MYCN
MYCNsPEP	MYCN
MYD88	MYD88
MYD88D	MYD88
MYF3	MYOD1
MYH	MUTYH
MYH11	MYH11
MYH9	MYH9
MYHRS	SMAD4
MYL	PML
MYMY2	RNF213
MYMY8	NOS3
MYN	PALLD
MYNN	MYNN
MYOD	MYOD1
MYOD1	MYOD1
MYODRIF	MYOD1
MYOSCO	PAX7
MYSM1	MYSM1
MYST-3	KAT6A
MYST3	KAT6A
MYST4	KAT6B
MYSTR	RNF213
Mam-2	CRTC1
Mcl-1	MCL1
Mi-2b	CHD4
Mi2-BETA	CHD4
Mif1	HERPUD1
Mip1	RPTOR
Mob4B	MOB1A
Mpn1	USB1
Munc13-4	UNC13D
Mxi2	MAPK14
Myc-bp2	MYCBP2
N-CoR	NCOR1
N-CoR1	NCOR1
N-CoR2	NCOR2
N-SAM	FGFR1
N-myc	MYCN
N-ras	NRAS
NAALAD1	FOLH1
NAC-alpha	NACA
NACA	NACA
NACA1	NACA
NAE1	NAE1
NAG-2	TSPAN4
NAG2	TSPAN4
NAIP	NAIP
NAMPT	NAMPT
NAP1BP	ABI1
NAP57	DKC1
NAPI-3B	SLC34A2
NAPI-IIb	SLC34A2
NAT	BRD2
NBCCS	PTCH1
NBLA00548	FAT4
NBLST2	PHOX2B
NBLST3	ALK
NBN	NBN
NBP	TP63
NBPhox	PHOX2B
NBS	NBN
NBS1	NBN
NBSLD	RAD50
NC	CHN1
NCAM	NCAM1
NCAM1	NCAM1
NCBRS	SMARCA2
NCFTD	FOLR1
NCKAP2	GRB2
NCKIPSD	NCKIPSD
NCMS	NRAS
NCOA1	NCOA1
NCOA2	NCOA2
NCOA4	NCOA4
NCOR1	NCOR1
NCOR2	NCOR2
NCRNA00295	TUSC7
NCSTN	NCSTN
NCoA-2	NCOA2
NDAXOA	SDHA
NDF	NRG1
NDNS	DOT1L
NDR1	NDRG1
NDRG1	NDRG1
NE	ELANE
NE-NA	SCN9A
NECRC	ZMYM2
NEDBA	ODC1
NEDBAS	DLL1
NEDBIA	ODC1
NEDCFSA	KDM6B
NEDCHF	HDAC4
NEDCHID	HDAC4
NEDDFSA	ZMIZ1
NEDEHC	KDM5A
NEDEPH	PIGA
NEDFIH	NAE1
NEDGTH	PSMC1
NEDHSS	EIF4A2
NEDMHAL	PSMB1
NEDSDV	CTNNB1
NEDSST	KDM6B
NEDXCF	STAG2
NEM1	TPM3
NENA	SCN9A
NEP	DDR1
NERF	ELF2
NERF-1A	ELF2
NERF-1B	ELF2
NERF-1a	ELF2
NERF-2	ELF2
NERP2	HEY1
NESP	GNAS
NET	ELK3
NET23	STING1
NET56	CTDNEP1
NET57	RNF213
NEU	ERBB2
NF-E1	GATA1
NF-EM5	IRF4
NF-I/B	NFIB
NF-kB	NFKB1
NF-kB1	NFKB1
NF-kB2	NFKB2
NF-kappa-B1	NFKB1
NF-kappaB	NFKB1
NF-kappabeta	NFKB1
NF1	NF1
NF1-B	NFIB
NF2	NF2
NFE1	GATA1
NFE1B	GATA2
NFE2L2	NFE2L2
NFI-B	NFIB
NFI-RED	NFIB
NFIB	NFIB
NFIB2	NFIB
NFIB3	NFIB
NFKB-p105	NFKB1
NFKB-p50	NFKB1
NFKB1	NFKB1
NFKB2	NFKB2
NFKB3	RELA
NFLS	SPRED1
NFNS	NF1
NFT2	GABPA
NFTC	SAMD9
NFkappaB	NFKB1
NGL	ERBB2
NHBP	FLNA
NHL	RTEL1
NHP2	NHP2
NHP2P	NHP2
NILR	IL21R
NIN	NIN
NISBD2	EGFR
NK-2	NKX2-1
NKJO	PSMB8
NKL	GLIS2
NKX2-1	NKX2-1
NKX2.1	NKX2-1
NKX2A	NKX2-1
NKp44L	KMT2E
NLRA	CIITA
NLRB1	NAIP
NMB	GPNMB
NME1	RMRP
NMHC-II-A	MYH9
NMMHC-IIA	MYH9
NMMHCA	MYH9
NMP-22	NUMA1
NMP4	ZNF384
NMSL	NDRG1
NMT55	NONO
NMTC1	NKX2-1
NMYC	MYCN
NNCIS	EGFR
NOLA1	GAR1
NOLA2	NHP2
NOLA3	NOP10
NOLA4	DKC1
NONO	NONO
NOP10	NOP10
NOP10P	NOP10
NOR-90	UBTF
NOR1	NR4A3
NOS3	NOS3
NOSIII	NOS3
NOT3	CNOT3
NOT3H	CNOT3
NOTCH1	NOTCH1
NOTCH2	NOTCH2
NOTCH3	NOTCH3
NOTCH4	NOTCH4
NP	ZNF384
NP79	TSPYL2
NPAT	NPAT
NPCA3	MST1R
NPHP7	GLIS2
NPHS26	LAMA5
NPHS4	WT1
NPM	NPM1
NPM1	NPM1
NPTIIb	SLC34A2
NPY3R	CXCR4
NPYR	CXCR4
NPYRL	CXCR4
NPYY3R	CXCR4
NR1B1	RARA
NR1C3	PPARG
NR3A1	ESR1
NR3A2	ESR2
NR3C1	NR3C1
NR3C4	AR
NR4A3	NR4A3
NR5A1	NR5A1
NR6	CRLF1
NRAS	NRAS
NRAS1	NRAS
NRB54	NONO
NRF2A	GABPA
NRG1	NRG1
NRG1-IT2	NRG1
NRG2	NRG2
NRG3	NRG3
NRG4	NRG4
NRSF	REST
NS	KRAS
NS1	PTPN11
NS10	LZTR1
NS13	MAPK1
NS2	LZTR1
NS3	KRAS
NS4	SOS1
NS5	RAF1
NS6	NRAS
NS7	BRAF
NS8	RIT1
NSD1	NSD1
NSD2	NSD2
NSLH1	SHOC2
NSLL	CBL
NSP	SPECC1
NSP5	SPECC1
NT5B	NT5C2
NT5C2	NT5C2
NTAK	NRG2
NTEF-1	TEAD1
NTRK1	NTRK1
NTRK2	NTRK2
NTRK3	NTRK3
NTRK4	DDR1
NTRKR1	ROR1
NTRKR2	ROR2
NTRKR3	DDR2
NU	PSMA1
NUMA	NUMA1
NUMA1	NUMA1
NUP196	NUP98
NUP214	NUP214
NUP96	NUP98
NUP98	NUP98
NUT	NUTM1
NUTM1	NUTM1
NUTM2A	NUTM2A
NUTM2B	NUTM2B
NY-CO-9	HDAC5
NY-ESO-1	CTAG1B
NaPi2b	SLC34A2
Nav1.7	SCN9A
Nbla00127	CBLB
Nbla10058	PSMC2
Nin1p	PSMD8
Npl3	TAF15
Nrf-2	NFE2L2
Nup98-96	NUP98
O/E-1	EBF1
O27.1.1	BRD2
OA3	CD47
OAF1	HEY1
OASIS	CREB3L1
OB	CDH11
OBF-1	POU2AF1
OBF1	POU2AF1
OBHD	NTRK2
OCA-T2	POU2AF3
OCAB	POU2AF1
OCI-5	GPC3
OCNDS	CSNK2A1
OCT3	POU5F1
OCT4	POU5F1
OCT4Borf1	POU5F1
ODC	ODC1
ODC1	ODC1
ODCD	TRIP11
ODCD1	TRIP11
ODCRCS	AXIN2
ODED	MYCN
ODG8	ESR2
ODLURO	KMT2E
OEF1	SAMD9
OEF2	SAMD9
OES	KRAS
OFC11	BMP4
OFC8	TP63
OFD21	ZRSR2
OGD	FGFR1
OHDOX	MED12
OI1	COL1A1
OI16	CREB3L1
OI2	COL1A1
OI3	COL1A1
OI4	COL1A1
OIP-4	PRAME
OIP4	PRAME
OK/SW-cl.5	TPM3
OK/SW-cl.56	TUBB
OKS	MED12
OLF1	EBF1
OLIG2	OLIG2
OLIGO2	OLIG2
OMD	OMD
OMS	A2ML1
OOMD	TUBB8
OOMD2	TUBB8
OOMD9	TRIP13
OPA1	MED12
OPD	FLNA
OPD1	FLNA
OPD2	FLNA
OPDKD	PDGFRB
OPDM2	HNRNPA2B1
OPHN1L	ARHGAP26
OPHN1L1	ARHGAP26
OPMD2	HNRNPA2B1
ORF1	NCKIPSD
ORFX	BRD3
ORW1	ENG
ORW2	ACVRL1
OSA1	ARID1A
OSA2	ARID1B
OSAD	OMD
OSCS	AMER1
OSF-4	CDH11
OSM	OSM
OSMR	OSMR
OSMRB	OSMR
OSMRbeta	OSMR
OSRC	RB1
OST1	RPN1
OSZF	MYNN
OTF-3	POU5F1
OTF3	POU5F1
OTF4	POU5F1
OTSC12	SMARCA4
OTT	RBM15
OTT1	RBM15
OTUD7C	TNFAIP3
OTX2	OTX2
OX-40L	TNFSF4
OX40	TNFRSF4
OX4OL	TNFSF4
OZEMA2	TUBB8
OZEMA21	CHEK1
OZEMA23	TUBA4A
OZEMA24	TUBA1C
OZEMA9	TRIP13
Oct-3	POU5F1
Oct-4	POU5F1
Oct3/4	POU5F1
P100	PMEL
P110BETA	PIK3CB
P110DELTA	PIK3CD
P112	PSMD1
P113	STAT2
P13MTCP1	MTCP1
P14	CDKN2A
P14ARF	CDKN2A
P15	CDKN2B
P16	CDKN2A
P16INK4	CDKN2A
P16INK4A	CDKN2A
P19	CDKN2A
P19ARF	CDKN2A
P21	CDKN1A
P250R	ARID1B
P26S4	PSMC1
P270	ARID1A
P27KIP1	CDKN1B
P2RY8	P2RY8
P2Y8	P2RY8
P38B	MAPK11
P38BETA2	MAPK11
P40	PSMD7
P42MAPK	MAPK1
P44ERK1	MAPK3
P44MAPK	MAPK3
P53	TP53
P54NRB	NONO
P58	PSMD3
P65	SYT1
P66	POLD3
P68	POLD3
P76RBE	RHPN2
P7B2	SCG5
P85B	PIK3R2
P95	NBN
P97	PSMD2
PA200	PSME4
PA28-gamma	PSME3
PA28A	PSME1
PA28B	PSME2
PA28G	PSME3
PA28alpha	PSME1
PA28beta	PSME2
PA28gamma	PSME3
PAC1	KLF6
PAD1	PSMD14
PADPRT-3	PARP3
PAF49	POLR1G
PAF53	POLR1E
PAIP	PSIP1
PALB2	PALB2
PALLD	PALLD
PAM	MYCBP2
PAPA8	GLI1
PARK6	PINK1
PARN	PARN
PARP	PARP1
PARP-1	PARP1
PARP-14	PARP14
PARP-2	PARP2
PARP-4	PARP4
PARP-5a	TNKS
PARP-5b	TNKS2
PARP-5c	TNKS2
PARP-6-B1	PARP6
PARP-6-C	PARP6
PARP1	PARP1
PARP10	PARP10
PARP11	PARP11
PARP12	PARP12
PARP13	ZC3HAV1
PARP14	PARP14
PARP15	PARP15
PARP16	PARP16
PARP2	PARP2
PARP3	PARP3
PARP4	PARP4
PARP5A	TNKS
PARP5B	TNKS2
PARP5C	TNKS2
PARP6	PARP6
PARP7	TIPARP
PARP8	PARP8
PARP9	PARP9
PARS	PARP1
PASD2	EPAS1
PASD8	HIF1A
PATZ	PATZ1
PATZ1	PATZ1
PAX-3	PAX3
PAX-5	PAX5
PAX-8	PAX8
PAX3	PAX3
PAX5	PAX5
PAX7	PAX7
PAX7B	PAX7
